transaction_id,date,period,account_name,account_type,subsidiary,department,debit,credit
TXN50011,2024-11-23,Nov 2024,Accounts Payable,AcctPay,France SAS,,16281.71,0.0
TXN50011,2024-11-23,Nov 2024,Cash - Payroll,Bank,France SAS,,0.0,16281.71
TXN50012,2024-01-17,Jan 2024,Inventory - Raw Materials,OthCurrAsset,Australia Pty Ltd,Finance,13460.27,0.0
TXN50012,2024-01-17,Jan 2024,Consulting Revenue,Income,Australia Pty Ltd,Finance,0.0,13460.27
TXN50013,2024-04-18,Apr 2024,Salaries and Wages,Expense,Singapore Pte Ltd,Finance,44245.69,0.0
TXN50013,2024-04-18,Apr 2024,Inventory - Raw Materials,OthCurrAsset,Singapore Pte Ltd,Finance,0.0,44245.69
TXN50014,2024-03-12,Mar 2024,Inventory - Raw Materials,OthCurrAsset,France SAS,,28112.27,0.0
TXN50014,2024-03-12,Mar 2024,Interest Income,OthIncome,France SAS,,0.0,28112.27
TXN50015,2024-10-25,Oct 2024,Inventory - Raw Materials,OthCurrAsset,Japan KK,Marketing,11044.11,0.0
TXN50015,2024-10-25,Oct 2024,Allowance for Doubtful Accounts,AcctRec,Japan KK,Marketing,0.0,11044.11
TXN50016,2024-02-16,Feb 2024,Inventory - Finished Goods,OthCurrAsset,US Headquarters,Engineering,7726.78,0.0
TXN50016,2024-02-16,Feb 2024,Interest Income,OthIncome,US Headquarters,Engineering,0.0,7726.78
TXN50017,2024-11-01,Nov 2024,Inventory - Raw Materials,OthCurrAsset,UK Operations,Finance,19142.8,0.0
TXN50017,2024-11-01,Nov 2024,Accounts Receivable,AcctRec,UK Operations,Finance,0.0,19142.8
TXN50018,2024-10-10,Oct 2024,Professional Fees,Expense,US Headquarters,,36064.02,0.0
TXN50018,2024-10-10,Oct 2024,Inventory - Raw Materials,OthCurrAsset,US Headquarters,,0.0,36064.02
TXN50019,2024-11-24,Nov 2024,Cash - Operating,Bank,Australia Pty Ltd,Engineering,14745.66,0.0
TXN50019,2024-11-24,Nov 2024,Consulting Revenue,Income,Australia Pty Ltd,Engineering,0.0,14745.66
TXN50020,2024-09-13,Sep 2024,Accounts Receivable,AcctRec,Germany GmbH,Operations,45640.13,0.0
TXN50020,2024-09-13,Sep 2024,Prepaid Expenses,OthCurrAsset,Germany GmbH,Operations,0.0,45640.13
TXN50021,2024-11-23,Nov 2024,Prepaid Expenses,OthCurrAsset,France SAS,Sales,18758.3,0.0
TXN50021,2024-11-23,Nov 2024,Product Sales,Income,France SAS,Sales,0.0,18758.3
TXN50022,2024-11-02,Nov 2024,Prepaid Expenses,OthCurrAsset,Australia Pty Ltd,Finance,1071.89,0.0
TXN50022,2024-11-02,Nov 2024,Prepaid Expenses,OthCurrAsset,Australia Pty Ltd,Finance,0.0,1071.89
TXN50023,2024-06-06,Jun 2024,Cost of Goods Sold - Services,COGS,France SAS,Engineering,12119.49,0.0
TXN50023,2024-06-06,Jun 2024,Cash - Payroll,Bank,France SAS,Engineering,0.0,12119.49
TXN50024,2024-09-05,Sep 2024,Allowance for Doubtful Accounts,AcctRec,UK Operations,Operations,38315.14,0.0
TXN50024,2024-09-05,Sep 2024,Service Revenue,Income,UK Operations,Operations,0.0,38315.14
TXN50025,2024-05-15,May 2024,Accrued Expenses,AcctPay,Japan KK,Sales,46452.78,0.0
TXN50025,2024-05-15,May 2024,Inventory - Finished Goods,OthCurrAsset,Japan KK,Sales,0.0,46452.78
TXN50026,2024-06-08,Jun 2024,Professional Fees,Expense,Japan KK,,32528.92,0.0
TXN50026,2024-06-08,Jun 2024,Accounts Payable,AcctPay,Japan KK,,0.0,32528.92
TXN50027,2024-03-02,Mar 2024,Inventory - Raw Materials,OthCurrAsset,France SAS,Sales,3294.89,0.0
TXN50027,2024-03-02,Mar 2024,Service Revenue,Income,France SAS,Sales,0.0,3294.89
TXN50028,2024-10-28,Oct 2024,Rent Expense,Expense,France SAS,Engineering,3642.55,0.0
TXN50028,2024-10-28,Oct 2024,Cash - Payroll,Bank,France SAS,Engineering,0.0,3642.55
TXN50029,2024-01-17,Jan 2024,Allowance for Doubtful Accounts,AcctRec,Australia Pty Ltd,Engineering,25756.39,0.0
TXN50029,2024-01-17,Jan 2024,Service Revenue,Income,Australia Pty Ltd,Engineering,0.0,25756.39
TXN50030,2024-10-03,Oct 2024,Travel and Entertainment,Expense,Germany GmbH,,46782.16,0.0
TXN50030,2024-10-03,Oct 2024,Allowance for Doubtful Accounts,AcctRec,Germany GmbH,,0.0,46782.16
TXN50031,2024-08-30,Aug 2024,Office Supplies,Expense,Japan KK,Sales,4806.86,0.0
TXN50031,2024-08-30,Aug 2024,Prepaid Expenses,OthCurrAsset,Japan KK,Sales,0.0,4806.86
TXN50032,2024-07-29,Jul 2024,Interest Expense,OthExpense,Singapore Pte Ltd,,2803.14,0.0
TXN50032,2024-07-29,Jul 2024,Cash - Payroll,Bank,Singapore Pte Ltd,,0.0,2803.14
TXN50033,2024-02-01,Feb 2024,Cash - Payroll,Bank,Japan KK,,17031.2,0.0
TXN50033,2024-02-01,Feb 2024,Cash - Payroll,Bank,Japan KK,,0.0,17031.2
TXN50034,2024-04-07,Apr 2024,Cash - Payroll,Bank,Singapore Pte Ltd,Sales,21151.89,0.0
TXN50034,2024-04-07,Apr 2024,Product Sales,Income,Singapore Pte Ltd,Sales,0.0,21151.89
TXN50035,2024-08-14,Aug 2024,Cost of Goods Sold - Products,COGS,UK Operations,Engineering,32642.03,0.0
TXN50035,2024-08-14,Aug 2024,Cash - Payroll,Bank,UK Operations,Engineering,0.0,32642.03
TXN50036,2024-05-01,May 2024,Allowance for Doubtful Accounts,AcctRec,Germany GmbH,Finance,24333.49,0.0
TXN50036,2024-05-01,May 2024,Product Sales,Income,Germany GmbH,Finance,0.0,24333.49
TXN50037,2024-03-25,Mar 2024,Prepaid Expenses,OthCurrAsset,Japan KK,Engineering,49266.91,0.0
TXN50037,2024-03-25,Mar 2024,Interest Income,OthIncome,Japan KK,Engineering,0.0,49266.91
TXN50038,2024-05-26,May 2024,Inventory - Raw Materials,OthCurrAsset,Japan KK,,47870.15,0.0
TXN50038,2024-05-26,May 2024,Inventory - Finished Goods,OthCurrAsset,Japan KK,,0.0,47870.15
TXN50039,2024-09-06,Sep 2024,Inventory - Raw Materials,OthCurrAsset,Germany GmbH,Sales,14905.72,0.0
TXN50039,2024-09-06,Sep 2024,Inventory - Finished Goods,OthCurrAsset,Germany GmbH,Sales,0.0,14905.72
TXN50040,2024-10-04,Oct 2024,Allowance for Doubtful Accounts,AcctRec,US Headquarters,,15748.88,0.0
TXN50040,2024-10-04,Oct 2024,Service Revenue,Income,US Headquarters,,0.0,15748.88
TXN50041,2024-01-30,Jan 2024,Prepaid Expenses,OthCurrAsset,UK Operations,Sales,3519.21,0.0
TXN50041,2024-01-30,Jan 2024,Service Revenue,Income,UK Operations,Sales,0.0,3519.21
TXN50042,2024-07-25,Jul 2024,IT and Software,Expense,UK Operations,Operations,12386.15,0.0
TXN50042,2024-07-25,Jul 2024,Cash - Payroll,Bank,UK Operations,Operations,0.0,12386.15
TXN50043,2024-08-02,Aug 2024,Accrued Expenses,AcctPay,Australia Pty Ltd,Marketing,10292.53,0.0
TXN50043,2024-08-02,Aug 2024,Accounts Receivable,AcctRec,Australia Pty Ltd,Marketing,0.0,10292.53
TXN50044,2024-07-21,Jul 2024,Cost of Goods Sold - Services,COGS,Germany GmbH,,32310.49,0.0
TXN50044,2024-07-21,Jul 2024,Cash - Operating,Bank,Germany GmbH,,0.0,32310.49
TXN50045,2024-08-22,Aug 2024,Salaries and Wages,Expense,UK Operations,Engineering,26927.96,0.0
TXN50045,2024-08-22,Aug 2024,Inventory - Finished Goods,OthCurrAsset,UK Operations,Engineering,0.0,26927.96
TXN50046,2024-02-05,Feb 2024,Professional Fees,Expense,France SAS,Marketing,14320.87,0.0
TXN50046,2024-02-05,Feb 2024,Short-term Loans,OthCurrLiab,France SAS,Marketing,0.0,14320.87
TXN50047,2024-06-03,Jun 2024,Inventory - Finished Goods,OthCurrAsset,US Headquarters,,40873.5,0.0
TXN50047,2024-06-03,Jun 2024,Product Sales,Income,US Headquarters,,0.0,40873.5
TXN50048,2024-03-09,Mar 2024,Accrued Expenses,AcctPay,Canada Inc,Engineering,44496.66,0.0
TXN50048,2024-03-09,Mar 2024,Accounts Receivable,AcctRec,Canada Inc,Engineering,0.0,44496.66
TXN50049,2024-05-24,May 2024,Utilities,Expense,France SAS,,17209.73,0.0
TXN50049,2024-05-24,May 2024,Accrued Expenses,AcctPay,France SAS,,0.0,17209.73
TXN50050,2024-09-07,Sep 2024,Utilities,Expense,Canada Inc,Engineering,4705.69,0.0
TXN50050,2024-09-07,Sep 2024,Cash - Operating,Bank,Canada Inc,Engineering,0.0,4705.69
TXN50051,2024-01-02,Jan 2024,Inventory - Finished Goods,OthCurrAsset,Australia Pty Ltd,Sales,31891.96,0.0
TXN50051,2024-01-02,Jan 2024,Interest Income,OthIncome,Australia Pty Ltd,Sales,0.0,31891.96
TXN50052,2024-10-09,Oct 2024,Inventory - Finished Goods,OthCurrAsset,Japan KK,Operations,582.52,0.0
TXN50052,2024-10-09,Oct 2024,Service Revenue,Income,Japan KK,Operations,0.0,582.52
TXN50053,2024-10-06,Oct 2024,Cash - Payroll,Bank,US Headquarters,Marketing,29167.23,0.0
TXN50053,2024-10-06,Oct 2024,Product Sales,Income,US Headquarters,Marketing,0.0,29167.23
TXN50054,2024-06-06,Jun 2024,Cash - Payroll,Bank,Australia Pty Ltd,Engineering,44956.34,0.0
TXN50054,2024-06-06,Jun 2024,Product Sales,Income,Australia Pty Ltd,Engineering,0.0,44956.34
TXN50055,2024-06-30,Jun 2024,Cash - Payroll,Bank,Japan KK,Operations,37498.93,0.0
TXN50055,2024-06-30,Jun 2024,Prepaid Expenses,OthCurrAsset,Japan KK,Operations,0.0,37498.93
TXN50056,2024-03-24,Mar 2024,Sales Tax Payable,OthCurrLiab,Germany GmbH,Finance,1336.84,0.0
TXN50056,2024-03-24,Mar 2024,Prepaid Expenses,OthCurrAsset,Germany GmbH,Finance,0.0,1336.84
TXN50057,2024-07-29,Jul 2024,Payroll Liabilities,OthCurrLiab,France SAS,Marketing,8043.97,0.0
TXN50057,2024-07-29,Jul 2024,Prepaid Expenses,OthCurrAsset,France SAS,Marketing,0.0,8043.97
TXN50058,2024-01-20,Jan 2024,Accounts Receivable,AcctRec,Singapore Pte Ltd,Sales,10058.68,0.0
TXN50058,2024-01-20,Jan 2024,Accounts Receivable,AcctRec,Singapore Pte Ltd,Sales,0.0,10058.68
TXN50059,2024-04-26,Apr 2024,Utilities,Expense,France SAS,Engineering,33035.66,0.0
TXN50059,2024-04-26,Apr 2024,Cash - Payroll,Bank,France SAS,Engineering,0.0,33035.66
TXN50060,2024-05-22,May 2024,Professional Fees,Expense,Australia Pty Ltd,,25519.34,0.0
TXN50060,2024-05-22,May 2024,Inventory - Finished Goods,OthCurrAsset,Australia Pty Ltd,,0.0,25519.34
TXN50061,2024-01-15,Jan 2024,Accounts Receivable,AcctRec,UK Operations,Marketing,9010.53,0.0
TXN50061,2024-01-15,Jan 2024,Cash - Operating,Bank,UK Operations,Marketing,0.0,9010.53
TXN50062,2024-02-25,Feb 2024,Inventory - Raw Materials,OthCurrAsset,Japan KK,Marketing,36454.4,0.0
TXN50062,2024-02-25,Feb 2024,Product Sales,Income,Japan KK,Marketing,0.0,36454.4
TXN50063,2024-07-16,Jul 2024,Professional Fees,Expense,France SAS,Marketing,2314.89,0.0
TXN50063,2024-07-16,Jul 2024,Accrued Expenses,AcctPay,France SAS,Marketing,0.0,2314.89
TXN50064,2024-12-17,Dec 2024,Accounts Receivable,AcctRec,France SAS,Marketing,21621.74,0.0
TXN50064,2024-12-17,Dec 2024,Inventory - Raw Materials,OthCurrAsset,France SAS,Marketing,0.0,21621.74
TXN50065,2024-06-09,Jun 2024,Interest Expense,OthExpense,UK Operations,,45012.34,0.0
TXN50065,2024-06-09,Jun 2024,Prepaid Expenses,OthCurrAsset,UK Operations,,0.0,45012.34
TXN50066,2024-06-16,Jun 2024,Allowance for Doubtful Accounts,AcctRec,Japan KK,,14853.19,0.0
TXN50066,2024-06-16,Jun 2024,Interest Income,OthIncome,Japan KK,,0.0,14853.19
TXN50067,2024-12-12,Dec 2024,Cost of Goods Sold - Products,COGS,Germany GmbH,Operations,28498.35,0.0
TXN50067,2024-12-12,Dec 2024,Inventory - Raw Materials,OthCurrAsset,Germany GmbH,Operations,0.0,28498.35
TXN50068,2024-05-26,May 2024,Office Supplies,Expense,France SAS,Finance,39309.37,0.0
TXN50068,2024-05-26,May 2024,Accounts Payable,AcctPay,France SAS,Finance,0.0,39309.37
TXN50069,2024-08-14,Aug 2024,Salaries and Wages,Expense,Singapore Pte Ltd,,10763.7,0.0
TXN50069,2024-08-14,Aug 2024,Payroll Liabilities,OthCurrLiab,Singapore Pte Ltd,,0.0,10763.7
TXN50070,2024-02-13,Feb 2024,Cost of Goods Sold - Services,COGS,Canada Inc,Operations,33226.31,0.0
TXN50070,2024-02-13,Feb 2024,Allowance for Doubtful Accounts,AcctRec,Canada Inc,Operations,0.0,33226.31
TXN50071,2024-12-10,Dec 2024,Cash - Operating,Bank,Canada Inc,Sales,40347.49,0.0
TXN50071,2024-12-10,Dec 2024,Service Revenue,Income,Canada Inc,Sales,0.0,40347.49
TXN50072,2024-08-31,Aug 2024,Rent Expense,Expense,UK Operations,Finance,20780.61,0.0
TXN50072,2024-08-31,Aug 2024,Short-term Loans,OthCurrLiab,UK Operations,Finance,0.0,20780.61
TXN50073,2024-12-22,Dec 2024,Inventory - Finished Goods,OthCurrAsset,Japan KK,Finance,20042.68,0.0
TXN50073,2024-12-22,Dec 2024,Product Sales,Income,Japan KK,Finance,0.0,20042.68
TXN50074,2024-02-24,Feb 2024,Inventory - Raw Materials,OthCurrAsset,Japan KK,Sales,8876.75,0.0
TXN50074,2024-02-24,Feb 2024,Allowance for Doubtful Accounts,AcctRec,Japan KK,Sales,0.0,8876.75
TXN50075,2024-01-26,Jan 2024,Short-term Loans,OthCurrLiab,France SAS,Engineering,22877.45,0.0
TXN50075,2024-01-26,Jan 2024,Inventory - Raw Materials,OthCurrAsset,France SAS,Engineering,0.0,22877.45
TXN50076,2024-10-31,Oct 2024,Short-term Loans,OthCurrLiab,Australia Pty Ltd,Finance,30671.35,0.0
TXN50076,2024-10-31,Oct 2024,Allowance for Doubtful Accounts,AcctRec,Australia Pty Ltd,Finance,0.0,30671.35
TXN50077,2024-10-07,Oct 2024,Utilities,Expense,Singapore Pte Ltd,Sales,37208.41,0.0
TXN50077,2024-10-07,Oct 2024,Allowance for Doubtful Accounts,AcctRec,Singapore Pte Ltd,Sales,0.0,37208.41
TXN50078,2024-11-22,Nov 2024,Allowance for Doubtful Accounts,AcctRec,Canada Inc,Operations,24281.39,0.0
TXN50078,2024-11-22,Nov 2024,Product Sales,Income,Canada Inc,Operations,0.0,24281.39
TXN50079,2024-12-31,Dec 2024,Inventory - Raw Materials,OthCurrAsset,Canada Inc,Sales,13658.58,0.0
TXN50079,2024-12-31,Dec 2024,Product Sales,Income,Canada Inc,Sales,0.0,13658.58
TXN50080,2024-03-11,Mar 2024,Cash - Payroll,Bank,Germany GmbH,Sales,19213.46,0.0
TXN50080,2024-03-11,Mar 2024,Product Sales,Income,Germany GmbH,Sales,0.0,19213.46
TXN50081,2024-07-31,Jul 2024,Rent Expense,Expense,Japan KK,Marketing,27176.3,0.0
TXN50081,2024-07-31,Jul 2024,Prepaid Expenses,OthCurrAsset,Japan KK,Marketing,0.0,27176.3
TXN50082,2024-07-18,Jul 2024,Accounts Receivable,AcctRec,US Headquarters,Operations,19081.01,0.0
TXN50082,2024-07-18,Jul 2024,Consulting Revenue,Income,US Headquarters,Operations,0.0,19081.01
TXN50083,2024-07-18,Jul 2024,IT and Software,Expense,Japan KK,Operations,37401.03,0.0
TXN50083,2024-07-18,Jul 2024,Allowance for Doubtful Accounts,AcctRec,Japan KK,Operations,0.0,37401.03
TXN50084,2024-09-06,Sep 2024,Accounts Receivable,AcctRec,France SAS,Marketing,21848.22,0.0
TXN50084,2024-09-06,Sep 2024,Interest Income,OthIncome,France SAS,Marketing,0.0,21848.22
TXN50085,2024-03-25,Mar 2024,Marketing and Advertising,Expense,Singapore Pte Ltd,Sales,49038.03,0.0
TXN50085,2024-03-25,Mar 2024,Sales Tax Payable,OthCurrLiab,Singapore Pte Ltd,Sales,0.0,49038.03
TXN50086,2024-10-15,Oct 2024,Allowance for Doubtful Accounts,AcctRec,US Headquarters,Engineering,32173.21,0.0
TXN50086,2024-10-15,Oct 2024,Service Revenue,Income,US Headquarters,Engineering,0.0,32173.21
TXN50087,2024-01-26,Jan 2024,Office Supplies,Expense,Canada Inc,Finance,16434.9,0.0
TXN50087,2024-01-26,Jan 2024,Prepaid Expenses,OthCurrAsset,Canada Inc,Finance,0.0,16434.9
TXN50088,2024-05-22,May 2024,Professional Fees,Expense,Japan KK,Marketing,41762.05,0.0
TXN50088,2024-05-22,May 2024,Cash - Operating,Bank,Japan KK,Marketing,0.0,41762.05
TXN50089,2024-06-28,Jun 2024,Cash - Operating,Bank,France SAS,,3524.06,0.0
TXN50089,2024-06-28,Jun 2024,Prepaid Expenses,OthCurrAsset,France SAS,,0.0,3524.06
TXN50090,2024-01-16,Jan 2024,Rent Expense,Expense,France SAS,Sales,41977.52,0.0
TXN50090,2024-01-16,Jan 2024,Accounts Receivable,AcctRec,France SAS,Sales,0.0,41977.52
TXN50091,2024-08-30,Aug 2024,Utilities,Expense,UK Operations,Operations,47393.08,0.0
TXN50091,2024-08-30,Aug 2024,Inventory - Finished Goods,OthCurrAsset,UK Operations,Operations,0.0,47393.08
TXN50092,2024-03-26,Mar 2024,Cash - Operating,Bank,UK Operations,Sales,48239.57,0.0
TXN50092,2024-03-26,Mar 2024,Consulting Revenue,Income,UK Operations,Sales,0.0,48239.57
TXN50093,2024-10-21,Oct 2024,Inventory - Raw Materials,OthCurrAsset,Japan KK,Finance,47079.38,0.0
TXN50093,2024-10-21,Oct 2024,Service Revenue,Income,Japan KK,Finance,0.0,47079.38
TXN50094,2024-02-22,Feb 2024,Inventory - Raw Materials,OthCurrAsset,Canada Inc,,30060.54,0.0
TXN50094,2024-02-22,Feb 2024,Product Sales,Income,Canada Inc,,0.0,30060.54
TXN50095,2024-06-26,Jun 2024,Office Supplies,Expense,Japan KK,,18591.49,0.0
TXN50095,2024-06-26,Jun 2024,Cash - Operating,Bank,Japan KK,,0.0,18591.49
TXN50096,2024-08-03,Aug 2024,Travel and Entertainment,Expense,Singapore Pte Ltd,Engineering,21732.82,0.0
TXN50096,2024-08-03,Aug 2024,Short-term Loans,OthCurrLiab,Singapore Pte Ltd,Engineering,0.0,21732.82
TXN50097,2024-03-19,Mar 2024,Accounts Receivable,AcctRec,Japan KK,Sales,36716.39,0.0
TXN50097,2024-03-19,Mar 2024,Inventory - Raw Materials,OthCurrAsset,Japan KK,Sales,0.0,36716.39
TXN50098,2024-10-02,Oct 2024,Sales Tax Payable,OthCurrLiab,Singapore Pte Ltd,Finance,21835.17,0.0
TXN50098,2024-10-02,Oct 2024,Accounts Receivable,AcctRec,Singapore Pte Ltd,Finance,0.0,21835.17
TXN50099,2024-05-05,May 2024,Allowance for Doubtful Accounts,AcctRec,UK Operations,Marketing,44093.4,0.0
TXN50099,2024-05-05,May 2024,Interest Income,OthIncome,UK Operations,Marketing,0.0,44093.4
TXN50100,2024-06-21,Jun 2024,Cash - Payroll,Bank,US Headquarters,Finance,42562.55,0.0
TXN50100,2024-06-21,Jun 2024,Consulting Revenue,Income,US Headquarters,Finance,0.0,42562.55
TXN50101,2024-05-12,May 2024,Sales Tax Payable,OthCurrLiab,Australia Pty Ltd,Marketing,44027.97,0.0
TXN50101,2024-05-12,May 2024,Inventory - Raw Materials,OthCurrAsset,Australia Pty Ltd,Marketing,0.0,44027.97
TXN50102,2024-01-06,Jan 2024,Professional Fees,Expense,France SAS,Engineering,12143.67,0.0
TXN50102,2024-01-06,Jan 2024,Allowance for Doubtful Accounts,AcctRec,France SAS,Engineering,0.0,12143.67
TXN50103,2024-12-19,Dec 2024,Cost of Goods Sold - Products,COGS,Singapore Pte Ltd,,35620.94,0.0
TXN50103,2024-12-19,Dec 2024,Cash - Payroll,Bank,Singapore Pte Ltd,,0.0,35620.94
TXN50104,2024-05-30,May 2024,Inventory - Raw Materials,OthCurrAsset,France SAS,Finance,34620.18,0.0
TXN50104,2024-05-30,May 2024,Consulting Revenue,Income,France SAS,Finance,0.0,34620.18
TXN50105,2024-08-30,Aug 2024,Office Supplies,Expense,Australia Pty Ltd,Finance,49831.91,0.0
TXN50105,2024-08-30,Aug 2024,Short-term Loans,OthCurrLiab,Australia Pty Ltd,Finance,0.0,49831.91
TXN50106,2024-08-20,Aug 2024,Cash - Payroll,Bank,Canada Inc,Marketing,12645.04,0.0
TXN50106,2024-08-20,Aug 2024,Consulting Revenue,Income,Canada Inc,Marketing,0.0,12645.04
TXN50107,2024-03-02,Mar 2024,IT and Software,Expense,Germany GmbH,Sales,10897.59,0.0
TXN50107,2024-03-02,Mar 2024,Accrued Expenses,AcctPay,Germany GmbH,Sales,0.0,10897.59
TXN50108,2024-11-01,Nov 2024,Accounts Receivable,AcctRec,Canada Inc,Engineering,41648.16,0.0
TXN50108,2024-11-01,Nov 2024,Service Revenue,Income,Canada Inc,Engineering,0.0,41648.16
TXN50109,2024-06-03,Jun 2024,Cash - Operating,Bank,US Headquarters,,26753.34,0.0
TXN50109,2024-06-03,Jun 2024,Consulting Revenue,Income,US Headquarters,,0.0,26753.34
TXN50110,2024-12-23,Dec 2024,Cost of Goods Sold - Products,COGS,Germany GmbH,,43436.21,0.0
TXN50110,2024-12-23,Dec 2024,Sales Tax Payable,OthCurrLiab,Germany GmbH,,0.0,43436.21
TXN50111,2024-05-25,May 2024,Cash - Operating,Bank,Singapore Pte Ltd,Finance,22079.39,0.0
TXN50111,2024-05-25,May 2024,Consulting Revenue,Income,Singapore Pte Ltd,Finance,0.0,22079.39
TXN50112,2024-09-01,Sep 2024,Inventory - Finished Goods,OthCurrAsset,UK Operations,Engineering,20095.3,0.0
TXN50112,2024-09-01,Sep 2024,Product Sales,Income,UK Operations,Engineering,0.0,20095.3
TXN50113,2024-03-18,Mar 2024,Cash - Payroll,Bank,Germany GmbH,Operations,47461.37,0.0
TXN50113,2024-03-18,Mar 2024,Product Sales,Income,Germany GmbH,Operations,0.0,47461.37
TXN50114,2024-10-12,Oct 2024,Professional Fees,Expense,Japan KK,Operations,29846.73,0.0
TXN50114,2024-10-12,Oct 2024,Prepaid Expenses,OthCurrAsset,Japan KK,Operations,0.0,29846.73
TXN50115,2024-08-18,Aug 2024,Accounts Receivable,AcctRec,Singapore Pte Ltd,Marketing,43022.32,0.0
TXN50115,2024-08-18,Aug 2024,Inventory - Raw Materials,OthCurrAsset,Singapore Pte Ltd,Marketing,0.0,43022.32
TXN50116,2024-11-13,Nov 2024,Prepaid Expenses,OthCurrAsset,US Headquarters,Operations,48009.43,0.0
TXN50116,2024-11-13,Nov 2024,Service Revenue,Income,US Headquarters,Operations,0.0,48009.43
TXN50117,2024-11-16,Nov 2024,Cash - Payroll,Bank,France SAS,Marketing,33055.36,0.0
TXN50117,2024-11-16,Nov 2024,Product Sales,Income,France SAS,Marketing,0.0,33055.36
TXN50118,2024-03-21,Mar 2024,Utilities,Expense,US Headquarters,Finance,22580.13,0.0
TXN50118,2024-03-21,Mar 2024,Cash - Operating,Bank,US Headquarters,Finance,0.0,22580.13
TXN50119,2024-04-28,Apr 2024,Cash - Operating,Bank,Canada Inc,,14207.65,0.0
TXN50119,2024-04-28,Apr 2024,Inventory - Finished Goods,OthCurrAsset,Canada Inc,,0.0,14207.65
TXN50120,2024-04-29,Apr 2024,Accrued Expenses,AcctPay,Canada Inc,,29530.5,0.0
TXN50120,2024-04-29,Apr 2024,Allowance for Doubtful Accounts,AcctRec,Canada Inc,,0.0,29530.5
TXN50121,2024-02-28,Feb 2024,Cash - Payroll,Bank,France SAS,,7534.57,0.0
TXN50121,2024-02-28,Feb 2024,Product Sales,Income,France SAS,,0.0,7534.57
TXN50122,2024-01-31,Jan 2024,Sales Tax Payable,OthCurrLiab,Germany GmbH,Marketing,29792.7,0.0
TXN50122,2024-01-31,Jan 2024,Allowance for Doubtful Accounts,AcctRec,Germany GmbH,Marketing,0.0,29792.7
TXN50123,2024-03-04,Mar 2024,Utilities,Expense,Singapore Pte Ltd,,15274.15,0.0
TXN50123,2024-03-04,Mar 2024,Accrued Expenses,AcctPay,Singapore Pte Ltd,,0.0,15274.15
TXN50124,2024-10-03,Oct 2024,Allowance for Doubtful Accounts,AcctRec,Singapore Pte Ltd,Finance,4114.05,0.0
TXN50124,2024-10-03,Oct 2024,Consulting Revenue,Income,Singapore Pte Ltd,Finance,0.0,4114.05
TXN50125,2024-11-05,Nov 2024,Prepaid Expenses,OthCurrAsset,Canada Inc,Engineering,4657.21,0.0
TXN50125,2024-11-05,Nov 2024,Prepaid Expenses,OthCurrAsset,Canada Inc,Engineering,0.0,4657.21
